Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.370003,113.389999,111.510002,113.330002,95.956825,118944600
2010-01-05,113.260002,113.680000,112.849998,113.629997,96.210838,111579900
2010-01-06,113.519997,113.989998,113.430000,113.709999,96.278564,116074400
2010-01-07,113.500000,114.330002,113.180000,114.190002,96.684990,131091100
2010-01-08,113.889999,114.620003,113.660004,114.570000,97.006729,126402800
2010-01-11,115.080002,115.129997,114.239998,114.730003,97.142204,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,96.236221,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,97.049049,161822000
2010-01-14,114.489998,115.139999,114.419998,114.930000,97.311546,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,96.219307,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,97.421600,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,96.430954,216490200
2010-01-21,113.919998,114.269997,111.559998,111.699997,94.576698,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,92.468414,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,92.942543,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,92.553055,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,92.993362,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,91.926529,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,90.927406,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,92.341400,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,93.459045,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,92.993362,172730700
2010-02-04,108.980003,109.029999,106.419998,106.440002,90.123039,356715700
2010-02-05,106.559998,106.879997,104.580002,106.660004,90.309303,493585800
2010-02-08,106.739998,107.330002,105.809998,105.889999,89.657379,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,90.783447,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,90.605667,240511500
2010-02-11,106.870003,108.250000,106.250000,108.129997,91.553947,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,91.477737,304622100
2010-02-16,108.860001,109.849998,107.820000,109.739998,92.917152,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,93.357414,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,93.907814,193708600
2010-02-19,110.620003,111.570000,110.360001,111.139999,94.102531,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,94.119476,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,92.976410,207497000
2010-02-24,110.139999,111.000000,109.860001,110.820000,93.831619,176350700
2010-02-25,109.239998,110.750000,108.940002,110.669998,93.704590,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,93.763855,173589300
2010-03-01,111.199997,112.000000,111.169998,111.889999,94.737556,147709700
2010-03-02,112.370003,112.739998,112.000000,112.199997,95.000046,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,95.084694,150785000
